check_id,run_id,run_date,report_name,source_system,location_id,check_name,records_tested,failed_records,pass_rate
DQ-000050,RUN-005704,2026-05-02,Ad Hoc Leader Request,Corporate Request,LOC-1021,incident_key_unique,109,6,0.945
DQ-000051,RUN-005704,2026-05-02,Ad Hoc Leader Request,Corporate Request,LOC-1021,location_id_present,203,2,0.9901
DQ-000052,RUN-006514,2026-05-17,Daily Incident Intake,Safety Logic,LOC-1034,vendor_credential_current,348,15,0.9569
DQ-000053,RUN-006514,2026-05-17,Daily Incident Intake,Safety Logic,LOC-1034,completion_date_present,239,12,0.9498
DQ-000054,RUN-006514,2026-05-17,Daily Incident Intake,Safety Logic,LOC-1034,location_id_present,96,0,1.0
DQ-000055,RUN-000036,2026-01-02,Daily Incident Intake,Safety Logic,LOC-1055,vendor_credential_current,223,12,0.9462
DQ-000056,RUN-000036,2026-01-02,Daily Incident Intake,Safety Logic,LOC-1055,location_id_present,319,8,0.9749
DQ-000057,RUN-000036,2026-01-02,Daily Incident Intake,Safety Logic,LOC-1055,completion_date_present,87,0,1.0
DQ-000058,RUN-007337,2026-06-01,PPE Readiness Tracker,PICS,LOC-1004,corrective_action_status_valid,328,27,0.9177
DQ-000059,RUN-007337,2026-06-01,PPE Readiness Tracker,PICS,LOC-1004,employee_partner_mapped,308,23,0.9253
DQ-000060,RUN-007337,2026-06-01,PPE Readiness Tracker,PICS,LOC-1004,vendor_credential_current,95,8,0.9158
DQ-000061,RUN-005063,2026-04-16,Daily Incident Intake,Safety Logic,LOC-1052,source_extract_arrived,138,8,0.942
DQ-000062,RUN-005063,2026-04-16,Daily Incident Intake,Safety Logic,LOC-1052,completion_date_present,284,7,0.9754
DQ-000063,RUN-005063,2026-04-16,Daily Incident Intake,Safety Logic,LOC-1052,incident_key_unique,161,2,0.9876
DQ-000064,RUN-003202,2026-03-09,Contractor Compliance Snapshot,ISN,LOC-1042,completion_date_present,119,6,0.9496
DQ-000065,RUN-003202,2026-03-09,Contractor Compliance Snapshot,ISN,LOC-1042,corrective_action_status_valid,178,8,0.9551
DQ-000066,RUN-003202,2026-03-09,Contractor Compliance Snapshot,ISN,LOC-1042,location_id_present,141,2,0.9858
DQ-000067,RUN-005906,2026-05-04,PPE Readiness Tracker,PICS,LOC-1059,source_extract_arrived,327,25,0.9235
DQ-000068,RUN-005906,2026-05-04,PPE Readiness Tracker,PICS,LOC-1059,employee_partner_mapped,200,9,0.955
DQ-000069,RUN-005906,2026-05-04,PPE Readiness Tracker,PICS,LOC-1059,incident_key_unique,275,8,0.9709
DQ-000070,RUN-003377,2026-03-14,Daily Incident Intake,Safety Logic,LOC-1010,incident_key_unique,97,3,0.9691
DQ-000071,RUN-003377,2026-03-14,Daily Incident Intake,Safety Logic,LOC-1010,source_extract_arrived,261,9,0.9655
DQ-000072,RUN-003377,2026-03-14,Daily Incident Intake,Safety Logic,LOC-1010,vendor_credential_current,172,10,0.9419
DQ-000073,RUN-006814,2026-05-24,Daily Incident Intake,Safety Logic,LOC-1005,location_id_present,98,0,1.0
DQ-000074,RUN-006814,2026-05-24,Daily Incident Intake,Safety Logic,LOC-1005,completion_date_present,354,16,0.9548
DQ-000075,RUN-006814,2026-05-24,Daily Incident Intake,Safety Logic,LOC-1005,source_extract_arrived,107,2,0.9813
DQ-000076,RUN-006857,2026-05-25,Daily Incident Intake,Safety Logic,LOC-1037,location_id_present,250,6,0.976
DQ-000077,RUN-006857,2026-05-25,Daily Incident Intake,Safety Logic,LOC-1037,corrective_action_status_valid,118,2,0.9831
DQ-000078,RUN-006857,2026-05-25,Daily Incident Intake,Safety Logic,LOC-1037,source_extract_arrived,113,1,0.9912
DQ-000079,RUN-001554,2026-02-02,Contractor Compliance Snapshot,ISN,LOC-1004,source_extract_arrived,273,11,0.9597
DQ-000080,RUN-001554,2026-02-02,Contractor Compliance Snapshot,ISN,LOC-1004,location_id_present,294,4,0.9864
DQ-000081,RUN-001554,2026-02-02,Contractor Compliance Snapshot,ISN,LOC-1004,completion_date_present,143,6,0.958
DQ-000082,RUN-002518,2026-02-23,Chemical SDS Coverage,MSDS,LOC-1008,completion_date_present,95,1,0.9895
DQ-000083,RUN-002518,2026-02-23,Chemical SDS Coverage,MSDS,LOC-1008,location_id_present,298,3,0.9899
DQ-000084,RUN-002518,2026-02-23,Chemical SDS Coverage,MSDS,LOC-1008,employee_partner_mapped,173,6,0.9653
DQ-000085,RUN-000871,2026-01-18,Daily Incident Intake,Safety Logic,LOC-1045,incident_key_unique,302,3,0.9901
DQ-000086,RUN-000871,2026-01-18,Daily Incident Intake,Safety Logic,LOC-1045,employee_partner_mapped,211,6,0.9716
DQ-000087,RUN-000871,2026-01-18,Daily Incident Intake,Safety Logic,LOC-1045,completion_date_present,110,1,0.9909
DQ-000088,RUN-003159,2026-03-09,Weekly Exception Review,Safety Logic,LOC-1021,location_id_present,123,0,1.0
DQ-000089,RUN-003159,2026-03-09,Weekly Exception Review,Safety Logic,LOC-1021,vendor_credential_current,341,13,0.9619
DQ-000090,RUN-003159,2026-03-09,Weekly Exception Review,Safety Logic,LOC-1021,completion_date_present,126,7,0.9444
DQ-000091,RUN-001064,2026-01-21,Daily Incident Intake,Safety Logic,LOC-1056,corrective_action_status_valid,233,8,0.9657
DQ-000092,RUN-001064,2026-01-21,Daily Incident Intake,Safety Logic,LOC-1056,employee_partner_mapped,353,12,0.966
DQ-000093,RUN-001064,2026-01-21,Daily Incident Intake,Safety Logic,LOC-1056,location_id_present,109,0,1.0
DQ-000094,RUN-000768,2026-01-14,Daily Incident Intake,Safety Logic,LOC-1021,corrective_action_status_valid,325,5,0.9846
DQ-000095,RUN-000768,2026-01-14,Daily Incident Intake,Safety Logic,LOC-1021,location_id_present,257,5,0.9805
DQ-000096,RUN-000768,2026-01-14,Daily Incident Intake,Safety Logic,LOC-1021,vendor_credential_current,318,9,0.9717
DQ-000097,RUN-008150,2026-06-19,Daily Incident Intake,Safety Logic,LOC-1059,incident_key_unique,180,4,0.9778
DQ-000098,RUN-008150,2026-06-19,Daily Incident Intake,Safety Logic,LOC-1059,location_id_present,356,2,0.9944
DQ-000099,RUN-008150,2026-06-19,Daily Incident Intake,Safety Logic,LOC-1059,employee_partner_mapped,80,5,0.9375
DQ-000100,RUN-000795,2026-01-15,Daily Incident Intake,Safety Logic,LOC-1032,completion_date_present,149,4,0.9732
DQ-000101,RUN-000795,2026-01-15,Daily Incident Intake,Safety Logic,LOC-1032,location_id_present,178,0,1.0
DQ-000102,RUN-000795,2026-01-15,Daily Incident Intake,Safety Logic,LOC-1032,vendor_credential_current,273,13,0.9524
DQ-000103,RUN-002127,2026-02-16,Daily Incident Intake,Safety Logic,LOC-1052,source_extract_arrived,325,11,0.9662
DQ-000104,RUN-002127,2026-02-16,Daily Incident Intake,Safety Logic,LOC-1052,location_id_present,319,7,0.9781
DQ-000105,RUN-002127,2026-02-16,Daily Incident Intake,Safety Logic,LOC-1052,corrective_action_status_valid,240,6,0.975
DQ-000106,RUN-000625,2026-01-12,Contractor Compliance Snapshot,ISN,LOC-1046,incident_key_unique,349,11,0.9685
DQ-000107,RUN-000625,2026-01-12,Contractor Compliance Snapshot,ISN,LOC-1046,employee_partner_mapped,322,23,0.9286
DQ-000108,RUN-000625,2026-01-12,Contractor Compliance Snapshot,ISN,LOC-1046,vendor_credential_current,84,7,0.9167
DQ-000109,RUN-000688,2026-01-12,PPE Readiness Tracker,PICS,LOC-1017,completion_date_present,206,11,0.9466
DQ-000110,RUN-000688,2026-01-12,PPE Readiness Tracker,PICS,LOC-1017,location_id_present,228,7,0.9693
DQ-000111,RUN-000688,2026-01-12,PPE Readiness Tracker,PICS,LOC-1017,corrective_action_status_valid,349,17,0.9513
DQ-000112,RUN-004664,2026-04-06,PPE Readiness Tracker,PICS,LOC-1033,employee_partner_mapped,343,17,0.9504
DQ-000113,RUN-004664,2026-04-06,PPE Readiness Tracker,PICS,LOC-1033,completion_date_present,243,13,0.9465
DQ-000114,RUN-004664,2026-04-06,PPE Readiness Tracker,PICS,LOC-1033,location_id_present,291,10,0.9656
DQ-000115,RUN-008588,2026-06-29,Daily Incident Intake,Safety Logic,LOC-1065,incident_key_unique,346,7,0.9798
DQ-000116,RUN-008588,2026-06-29,Daily Incident Intake,Safety Logic,LOC-1065,location_id_present,294,6,0.9796
DQ-000117,RUN-008588,2026-06-29,Daily Incident Intake,Safety Logic,LOC-1065,vendor_credential_current,357,11,0.9692
DQ-000118,RUN-002945,2026-03-04,Daily Incident Intake,Safety Logic,LOC-1046,vendor_credential_current,103,4,0.9612
DQ-000119,RUN-002945,2026-03-04,Daily Incident Intake,Safety Logic,LOC-1046,employee_partner_mapped,258,15,0.9419
DQ-000120,RUN-002945,2026-03-04,Daily Incident Intake,Safety Logic,LOC-1046,source_extract_arrived,106,5,0.9528
DQ-000121,RUN-004591,2026-04-06,Weekly Exception Review,Safety Logic,LOC-1007,completion_date_present,232,14,0.9397
DQ-000122,RUN-004591,2026-04-06,Weekly Exception Review,Safety Logic,LOC-1007,employee_partner_mapped,169,16,0.9053
DQ-000123,RUN-004591,2026-04-06,Weekly Exception Review,Safety Logic,LOC-1007,location_id_present,293,11,0.9625
DQ-000124,RUN-001865,2026-02-09,Chemical SDS Coverage,MSDS,LOC-1038,source_extract_arrived,225,12,0.9467
DQ-000125,RUN-001865,2026-02-09,Chemical SDS Coverage,MSDS,LOC-1038,employee_partner_mapped,291,15,0.9485
DQ-000126,RUN-001865,2026-02-09,Chemical SDS Coverage,MSDS,LOC-1038,completion_date_present,304,4,0.9868
DQ-000127,RUN-006512,2026-05-17,Daily Incident Intake,Safety Logic,LOC-1041,completion_date_present,331,10,0.9698
DQ-000128,RUN-006512,2026-05-17,Daily Incident Intake,Safety Logic,LOC-1041,incident_key_unique,304,9,0.9704
DQ-000129,RUN-006512,2026-05-17,Daily Incident Intake,Safety Logic,LOC-1041,source_extract_arrived,320,10,0.9688
DQ-000130,RUN-000612,2026-01-12,Contractor Compliance Snapshot,ISN,LOC-1003,vendor_credential_current,223,15,0.9327
DQ-000131,RUN-000612,2026-01-12,Contractor Compliance Snapshot,ISN,LOC-1003,completion_date_present,318,12,0.9623
DQ-000132,RUN-000612,2026-01-12,Contractor Compliance Snapshot,ISN,LOC-1003,employee_partner_mapped,181,12,0.9337
DQ-000133,RUN-004842,2026-04-13,Daily Incident Intake,Safety Logic,LOC-1065,vendor_credential_current,152,8,0.9474
DQ-000134,RUN-004842,2026-04-13,Daily Incident Intake,Safety Logic,LOC-1065,source_extract_arrived,175,7,0.96
DQ-000135,RUN-004842,2026-04-13,Daily Incident Intake,Safety Logic,LOC-1065,incident_key_unique,177,4,0.9774
DQ-000136,RUN-006114,2026-05-08,Daily Incident Intake,Safety Logic,LOC-1031,incident_key_unique,319,5,0.9843
DQ-000137,RUN-006114,2026-05-08,Daily Incident Intake,Safety Logic,LOC-1031,completion_date_present,253,5,0.9802
DQ-000138,RUN-006114,2026-05-08,Daily Incident Intake,Safety Logic,LOC-1031,location_id_present,338,5,0.9852
DQ-000139,RUN-005975,2026-05-05,Vendor Credential Audit,Browz,LOC-1019,incident_key_unique,190,7,0.9632
DQ-000140,RUN-005975,2026-05-05,Vendor Credential Audit,Browz,LOC-1019,source_extract_arrived,98,4,0.9592
DQ-000141,RUN-005975,2026-05-05,Vendor Credential Audit,Browz,LOC-1019,completion_date_present,281,14,0.9502
DQ-000142,RUN-004447,2026-04-04,Daily Incident Intake,Safety Logic,LOC-1045,incident_key_unique,247,6,0.9757
DQ-000143,RUN-004447,2026-04-04,Daily Incident Intake,Safety Logic,LOC-1045,location_id_present,175,1,0.9943
DQ-000144,RUN-004447,2026-04-04,Daily Incident Intake,Safety Logic,LOC-1045,vendor_credential_current,176,15,0.9148
DQ-000145,RUN-002197,2026-02-16,Chemical SDS Coverage,MSDS,LOC-1006,source_extract_arrived,169,5,0.9704
DQ-000146,RUN-002197,2026-02-16,Chemical SDS Coverage,MSDS,LOC-1006,incident_key_unique,283,7,0.9753
DQ-000147,RUN-002197,2026-02-16,Chemical SDS Coverage,MSDS,LOC-1006,location_id_present,200,7,0.965
DQ-000148,RUN-002195,2026-02-16,Chemical SDS Coverage,MSDS,LOC-1025,source_extract_arrived,188,10,0.9468
DQ-000149,RUN-002195,2026-02-16,Chemical SDS Coverage,MSDS,LOC-1025,completion_date_present,340,10,0.9706
DQ-000150,RUN-002195,2026-02-16,Chemical SDS Coverage,MSDS,LOC-1025,incident_key_unique,240,4,0.9833
DQ-000151,RUN-001767,2026-02-08,Daily Incident Intake,Safety Logic,LOC-1048,incident_key_unique,154,3,0.9805
DQ-000152,RUN-001767,2026-02-08,Daily Incident Intake,Safety Logic,LOC-1048,employee_partner_mapped,203,6,0.9704
DQ-000153,RUN-001767,2026-02-08,Daily Incident Intake,Safety Logic,LOC-1048,completion_date_present,326,14,0.9571
DQ-000154,RUN-001815,2026-02-09,Weekly Exception Review,Safety Logic,LOC-1058,employee_partner_mapped,254,10,0.9606
DQ-000155,RUN-001815,2026-02-09,Weekly Exception Review,Safety Logic,LOC-1058,incident_key_unique,276,5,0.9819
DQ-000156,RUN-001815,2026-02-09,Weekly Exception Review,Safety Logic,LOC-1058,completion_date_present,214,7,0.9673
DQ-000157,RUN-002724,2026-02-28,Daily Incident Intake,Safety Logic,LOC-1013,corrective_action_status_valid,150,6,0.96
DQ-000158,RUN-002724,2026-02-28,Daily Incident Intake,Safety Logic,LOC-1013,incident_key_unique,307,4,0.987
DQ-000159,RUN-002724,2026-02-28,Daily Incident Intake,Safety Logic,LOC-1013,employee_partner_mapped,105,3,0.9714
DQ-000160,RUN-004428,2026-04-03,Daily Incident Intake,Safety Logic,LOC-1013,incident_key_unique,241,4,0.9834
DQ-000161,RUN-004428,2026-04-03,Daily Incident Intake,Safety Logic,LOC-1013,completion_date_present,298,10,0.9664
DQ-000162,RUN-004428,2026-04-03,Daily Incident Intake,Safety Logic,LOC-1013,location_id_present,180,2,0.9889
DQ-000163,RUN-003573,2026-03-16,PPE Readiness Tracker,PICS,LOC-1018,location_id_present,78,3,0.9615
DQ-000164,RUN-003573,2026-03-16,PPE Readiness Tracker,PICS,LOC-1018,source_extract_arrived,250,13,0.948
DQ-000165,RUN-003573,2026-03-16,PPE Readiness Tracker,PICS,LOC-1018,employee_partner_mapped,117,7,0.9402
DQ-000166,RUN-006883,2026-05-25,Weekly Exception Review,Safety Logic,LOC-1047,corrective_action_status_valid,251,9,0.9641
DQ-000167,RUN-006883,2026-05-25,Weekly Exception Review,Safety Logic,LOC-1047,location_id_present,135,2,0.9852
DQ-000168,RUN-006883,2026-05-25,Weekly Exception Review,Safety Logic,LOC-1047,completion_date_present,206,6,0.9709
DQ-000169,RUN-001571,2026-02-02,Chemical SDS Coverage,MSDS,LOC-1002,incident_key_unique,196,11,0.9439
DQ-000170,RUN-001571,2026-02-02,Chemical SDS Coverage,MSDS,LOC-1002,corrective_action_status_valid,342,14,0.9591
DQ-000171,RUN-001571,2026-02-02,Chemical SDS Coverage,MSDS,LOC-1002,location_id_present,162,3,0.9815
DQ-000172,RUN-002327,2026-02-20,Daily Incident Intake,Safety Logic,LOC-1013,location_id_present,294,3,0.9898
DQ-000173,RUN-002327,2026-02-20,Daily Incident Intake,Safety Logic,LOC-1013,vendor_credential_current,169,6,0.9645
DQ-000174,RUN-002327,2026-02-20,Daily Incident Intake,Safety Logic,LOC-1013,source_extract_arrived,110,3,0.9727
DQ-000175,RUN-007374,2026-06-02,Daily Incident Intake,Safety Logic,LOC-1045,completion_date_present,216,6,0.9722
DQ-000176,RUN-007374,2026-06-02,Daily Incident Intake,Safety Logic,LOC-1045,vendor_credential_current,337,27,0.9199
DQ-000177,RUN-007374,2026-06-02,Daily Incident Intake,Safety Logic,LOC-1045,source_extract_arrived,176,8,0.9545
DQ-000178,RUN-004280,2026-03-30,Ad Hoc Leader Request,Corporate Request,LOC-1049,location_id_present,287,1,0.9965
DQ-000179,RUN-004280,2026-03-30,Ad Hoc Leader Request,Corporate Request,LOC-1049,completion_date_present,159,3,0.9811
DQ-000180,RUN-004280,2026-03-30,Ad Hoc Leader Request,Corporate Request,LOC-1049,employee_partner_mapped,80,0,1.0
DQ-000181,RUN-005239,2026-04-20,Chemical SDS Coverage,MSDS,LOC-1007,completion_date_present,252,7,0.9722
DQ-000182,RUN-005239,2026-04-20,Chemical SDS Coverage,MSDS,LOC-1007,corrective_action_status_valid,249,8,0.9679
DQ-000183,RUN-005239,2026-04-20,Chemical SDS Coverage,MSDS,LOC-1007,incident_key_unique,159,3,0.9811
DQ-000184,RUN-008191,2026-06-20,Daily Incident Intake,Safety Logic,LOC-1025,location_id_present,175,3,0.9829
DQ-000185,RUN-008191,2026-06-20,Daily Incident Intake,Safety Logic,LOC-1025,corrective_action_status_valid,272,6,0.9779
DQ-000186,RUN-008191,2026-06-20,Daily Incident Intake,Safety Logic,LOC-1025,employee_partner_mapped,176,3,0.983
DQ-000187,RUN-000499,2026-01-09,Daily Incident Intake,Safety Logic,LOC-1041,completion_date_present,228,11,0.9518
DQ-000188,RUN-000499,2026-01-09,Daily Incident Intake,Safety Logic,LOC-1041,employee_partner_mapped,177,10,0.9435
DQ-000189,RUN-000499,2026-01-09,Daily Incident Intake,Safety Logic,LOC-1041,source_extract_arrived,286,7,0.9755
DQ-000190,RUN-004421,2026-04-02,Ad Hoc Leader Request,Corporate Request,LOC-1034,corrective_action_status_valid,177,3,0.9831
DQ-000191,RUN-004421,2026-04-02,Ad Hoc Leader Request,Corporate Request,LOC-1034,completion_date_present,82,1,0.9878
DQ-000192,RUN-004421,2026-04-02,Ad Hoc Leader Request,Corporate Request,LOC-1034,incident_key_unique,138,6,0.9565
DQ-000193,RUN-008458,2026-06-26,Daily Incident Intake,Safety Logic,LOC-1022,employee_partner_mapped,96,9,0.9062
DQ-000194,RUN-008458,2026-06-26,Daily Incident Intake,Safety Logic,LOC-1022,location_id_present,177,3,0.9831
DQ-000195,RUN-008458,2026-06-26,Daily Incident Intake,Safety Logic,LOC-1022,source_extract_arrived,83,4,0.9518
DQ-000196,RUN-003015,2026-03-05,Vendor Credential Audit,Browz,LOC-1019,employee_partner_mapped,78,4,0.9487
DQ-000197,RUN-003015,2026-03-05,Vendor Credential Audit,Browz,LOC-1019,incident_key_unique,250,12,0.952
DQ-000198,RUN-003015,2026-03-05,Vendor Credential Audit,Browz,LOC-1019,completion_date_present,284,19,0.9331
DQ-000199,RUN-001763,2026-02-07,Daily Incident Intake,Safety Logic,LOC-1004,corrective_action_status_valid,238,7,0.9706
DQ-000200,RUN-001763,2026-02-07,Daily Incident Intake,Safety Logic,LOC-1004,location_id_present,190,1,0.9947
DQ-000201,RUN-001763,2026-02-07,Daily Incident Intake,Safety Logic,LOC-1004,completion_date_present,324,9,0.9722
DQ-000202,RUN-001550,2026-02-02,Contractor Compliance Snapshot,ISN,LOC-1045,incident_key_unique,258,4,0.9845
DQ-000203,RUN-001550,2026-02-02,Contractor Compliance Snapshot,ISN,LOC-1045,source_extract_arrived,307,11,0.9642
DQ-000204,RUN-001550,2026-02-02,Contractor Compliance Snapshot,ISN,LOC-1045,vendor_credential_current,329,12,0.9635
DQ-000205,RUN-006206,2026-05-11,Daily Incident Intake,Safety Logic,LOC-1058,incident_key_unique,126,3,0.9762
DQ-000206,RUN-006206,2026-05-11,Daily Incident Intake,Safety Logic,LOC-1058,completion_date_present,300,11,0.9633
DQ-000207,RUN-006206,2026-05-11,Daily Incident Intake,Safety Logic,LOC-1058,corrective_action_status_valid,229,10,0.9563
DQ-000208,RUN-004463,2026-04-05,Daily Incident Intake,Safety Logic,LOC-1044,employee_partner_mapped,223,8,0.9641
DQ-000209,RUN-004463,2026-04-05,Daily Incident Intake,Safety Logic,LOC-1044,location_id_present,179,0,1.0
DQ-000210,RUN-004463,2026-04-05,Daily Incident Intake,Safety Logic,LOC-1044,source_extract_arrived,278,10,0.964
DQ-000211,RUN-007034,2026-05-26,Daily Incident Intake,Safety Logic,LOC-1039,vendor_credential_current,262,9,0.9656
DQ-000212,RUN-007034,2026-05-26,Daily Incident Intake,Safety Logic,LOC-1039,completion_date_present,276,4,0.9855
DQ-000213,RUN-007034,2026-05-26,Daily Incident Intake,Safety Logic,LOC-1039,location_id_present,92,3,0.9674
DQ-000214,RUN-003560,2026-03-16,PPE Readiness Tracker,PICS,LOC-1027,completion_date_present,343,21,0.9388
DQ-000215,RUN-003560,2026-03-16,PPE Readiness Tracker,PICS,LOC-1027,employee_partner_mapped,131,10,0.9237
DQ-000216,RUN-003560,2026-03-16,PPE Readiness Tracker,PICS,LOC-1027,source_extract_arrived,358,17,0.9525
DQ-000217,RUN-008073,2026-06-16,Daily Incident Intake,Safety Logic,LOC-1068,vendor_credential_current,127,3,0.9764
DQ-000218,RUN-008073,2026-06-16,Daily Incident Intake,Safety Logic,LOC-1068,source_extract_arrived,150,7,0.9533
DQ-000219,RUN-008073,2026-06-16,Daily Incident Intake,Safety Logic,LOC-1068,corrective_action_status_valid,343,14,0.9592
DQ-000220,RUN-003983,2026-03-23,PPE Readiness Tracker,PICS,LOC-1038,incident_key_unique,116,7,0.9397
DQ-000221,RUN-003983,2026-03-23,PPE Readiness Tracker,PICS,LOC-1038,completion_date_present,264,12,0.9545
DQ-000222,RUN-003983,2026-03-23,PPE Readiness Tracker,PICS,LOC-1038,vendor_credential_current,266,20,0.9248
DQ-000223,RUN-002763,2026-03-01,Daily Incident Intake,Safety Logic,LOC-1067,source_extract_arrived,170,2,0.9882
