run_id,run_date,report_name,cadence,source_system,location_id,region,division,support_tier,sla_hours,refresh_delay_hours,sla_met,records_expected,completeness_rate,duplicate_keys,unmapped_records,completed_at
RUN-000018,2026-01-01,Daily Incident Intake,daily,Safety Logic,LOC-1052,South Central,First Aid & Safety,standard,7,1.03,True,206,0.9814,0,1,2026-01-01T09:01:35.231051378
RUN-000019,2026-01-01,Daily Incident Intake,daily,Safety Logic,LOC-1035,Northeast,Facility Services,standard,7,2.23,True,339,0.9435,2,1,2026-01-01T10:13:48.275326964
RUN-000020,2026-01-01,Daily Incident Intake,daily,Safety Logic,LOC-1049,South Central,Uniform Rental,standard,7,4.45,True,271,0.9926,0,6,2026-01-01T12:26:47.798242670
RUN-000021,2026-01-01,Daily Incident Intake,daily,Safety Logic,LOC-1016,Midwest,First Aid & Safety,standard,7,1.23,True,249,0.9778,1,2,2026-01-01T09:13:49.730056622
RUN-000022,2026-01-01,Daily Incident Intake,daily,Safety Logic,LOC-1028,Northeast,First Aid & Safety,high_touch,7,5.36,True,144,0.9769,1,2,2026-01-01T13:21:41.329438782
RUN-000023,2026-01-01,Daily Incident Intake,daily,Safety Logic,LOC-1011,Great Lakes,Facility Services,high_touch,7,3.38,True,299,0.9698,2,3,2026-01-01T11:22:51.035371625
RUN-000024,2026-01-01,Daily Incident Intake,daily,Safety Logic,LOC-1008,Great Lakes,Fire Protection,high_touch,7,4.89,True,120,0.9699,3,3,2026-01-01T12:53:12.961979053
RUN-000025,2026-01-01,Daily Incident Intake,daily,Safety Logic,LOC-1001,Great Lakes,Uniform Rental,high_touch,7,5.12,True,159,0.9784,5,4,2026-01-01T13:07:14.928756952
RUN-000026,2026-01-01,Daily Incident Intake,daily,Safety Logic,LOC-1048,Southeast,Facility Services,high_touch,7,3.02,True,181,0.984,1,4,2026-01-01T11:01:15.961827578
RUN-000027,2026-01-01,Daily Incident Intake,daily,Safety Logic,LOC-1046,Southeast,Facility Services,high_touch,7,4.94,True,108,0.9678,2,7,2026-01-01T12:56:18.346373011
RUN-000028,2026-01-01,Daily Incident Intake,daily,Safety Logic,LOC-1017,Midwest,First Aid & Safety,standard,7,2.13,True,118,0.9918,1,1,2026-01-01T10:08:01.076543985
RUN-000029,2026-01-01,Daily Incident Intake,daily,Safety Logic,LOC-1062,West,Uniform Rental,standard,7,5.48,True,119,0.9525,2,1,2026-01-01T13:28:37.004487933
RUN-000030,2026-01-01,Daily Incident Intake,daily,Safety Logic,LOC-1063,West,Uniform Rental,standard,7,1.24,True,413,0.999,2,1,2026-01-01T09:14:34.797803289
RUN-000031,2026-01-02,Daily Incident Intake,daily,Safety Logic,LOC-1019,Midwest,Fire Protection,standard,7,1.53,True,258,0.9877,1,1,2026-01-02T09:32:01.229805289
RUN-000032,2026-01-02,Daily Incident Intake,daily,Safety Logic,LOC-1025,Northeast,Uniform Rental,standard,7,0.34,True,165,0.9599,4,3,2026-01-02T08:20:36.875354193
RUN-000033,2026-01-02,Daily Incident Intake,daily,Safety Logic,LOC-1066,West,First Aid & Safety,high_touch,7,2.57,True,312,0.978,3,2,2026-01-02T10:34:24.789958522
RUN-000034,2026-01-02,Daily Incident Intake,daily,Safety Logic,LOC-1030,Northeast,First Aid & Safety,high_touch,7,2.74,True,221,0.9709,1,2,2026-01-02T10:44:14.478789004
RUN-000035,2026-01-02,Daily Incident Intake,daily,Safety Logic,LOC-1038,Southeast,Uniform Rental,high_touch,7,7.01,False,115,0.9691,2,1,2026-01-02T15:00:19.676500743
RUN-000036,2026-01-02,Daily Incident Intake,daily,Safety Logic,LOC-1055,South Central,Fire Protection,standard,7,3.03,True,190,0.9859,3,2,2026-01-02T11:01:45.383166529
RUN-000037,2026-01-02,Daily Incident Intake,daily,Safety Logic,LOC-1040,Southeast,First Aid & Safety,high_touch,7,3.38,True,395,0.9721,3,5,2026-01-02T11:23:05.142045416
RUN-000038,2026-01-02,Daily Incident Intake,daily,Safety Logic,LOC-1011,Great Lakes,Facility Services,high_touch,7,4.4,True,295,0.9676,0,2,2026-01-02T12:23:48.238195345
RUN-000039,2026-01-02,Daily Incident Intake,daily,Safety Logic,LOC-1041,Southeast,First Aid & Safety,high_touch,7,6.99,True,350,0.931,5,5,2026-01-02T14:59:36.113358903
RUN-000040,2026-01-02,Daily Incident Intake,daily,Safety Logic,LOC-1037,Southeast,Uniform Rental,high_touch,7,5.88,True,202,0.9408,2,5,2026-01-02T13:53:04.427989657
RUN-000041,2026-01-02,Daily Incident Intake,daily,Safety Logic,LOC-1004,Great Lakes,First Aid & Safety,high_touch,7,4.92,True,300,0.9517,2,1,2026-01-02T12:55:05.526909151
RUN-000042,2026-01-02,Daily Incident Intake,daily,Safety Logic,LOC-1042,Southeast,First Aid & Safety,high_touch,7,5.43,True,259,0.9549,2,3,2026-01-02T13:25:47.456373183
RUN-000043,2026-01-02,Daily Incident Intake,daily,Safety Logic,LOC-1033,Northeast,Fire Protection,high_touch,7,3.38,True,388,0.9728,0,3,2026-01-02T11:22:48.948319780
RUN-000044,2026-01-02,Daily Incident Intake,daily,Safety Logic,LOC-1050,South Central,Uniform Rental,standard,7,6.9,True,143,0.965,3,2,2026-01-02T14:53:44.918850126
RUN-000045,2026-01-02,Daily Incident Intake,daily,Safety Logic,LOC-1005,Great Lakes,First Aid & Safety,high_touch,7,3.45,True,135,0.9576,5,3,2026-01-02T11:26:50.584976573
RUN-000046,2026-01-02,Daily Incident Intake,daily,Safety Logic,LOC-1017,Midwest,First Aid & Safety,standard,7,3.46,True,387,0.9875,0,2,2026-01-02T11:27:19.876924040
RUN-000047,2026-01-02,Daily Incident Intake,daily,Safety Logic,LOC-1047,Southeast,Facility Services,high_touch,7,3.16,True,181,0.9591,0,5,2026-01-02T11:09:43.428157316
RUN-000048,2026-01-02,Daily Incident Intake,daily,Safety Logic,LOC-1032,Northeast,Fire Protection,high_touch,7,5.04,True,169,0.9218,5,3,2026-01-02T13:02:24.480654033
RUN-000049,2026-01-02,Daily Incident Intake,daily,Safety Logic,LOC-1003,Great Lakes,Uniform Rental,high_touch,7,4.68,True,90,0.9487,2,2,2026-01-02T12:40:31.540066317
RUN-000050,2026-01-02,Daily Incident Intake,daily,Safety Logic,LOC-1061,West,Uniform Rental,high_touch,7,6.54,True,175,0.9637,2,3,2026-01-02T14:32:41.269037199
RUN-000051,2026-01-02,Daily Incident Intake,daily,Safety Logic,LOC-1016,Midwest,First Aid & Safety,standard,7,4.85,True,190,0.966,3,3,2026-01-02T12:51:16.511429188
RUN-000052,2026-01-02,Daily Incident Intake,daily,Safety Logic,LOC-1057,South Central,Fire Protection,standard,7,3.07,True,319,0.9633,4,3,2026-01-02T11:04:08.314323738
RUN-000053,2026-01-02,Daily Incident Intake,daily,Safety Logic,LOC-1060,South Central,Facility Services,standard,7,2.09,True,319,0.9485,1,0,2026-01-02T10:05:15.827151181
RUN-000054,2026-01-02,Daily Incident Intake,daily,Safety Logic,LOC-1009,Great Lakes,Fire Protection,high_touch,7,4.77,True,300,0.9696,6,4,2026-01-02T12:46:03.395550985
RUN-000055,2026-01-02,Daily Incident Intake,daily,Safety Logic,LOC-1058,South Central,Facility Services,standard,7,0.11,True,332,0.9971,2,3,2026-01-02T08:06:28.427231115
RUN-000056,2026-01-02,Daily Incident Intake,daily,Safety Logic,LOC-1013,Midwest,Uniform Rental,standard,7,5.23,True,321,0.9428,2,3,2026-01-02T13:13:55.948286395
RUN-000057,2026-01-02,Daily Incident Intake,daily,Safety Logic,LOC-1063,West,Uniform Rental,standard,7,4.28,True,118,0.9558,2,1,2026-01-02T12:16:42.019551730
RUN-000058,2026-01-02,Daily Incident Intake,daily,Safety Logic,LOC-1054,South Central,First Aid & Safety,standard,7,3.96,True,237,0.9908,1,3,2026-01-02T11:57:52.767864160
RUN-000059,2026-01-03,Daily Incident Intake,daily,Safety Logic,LOC-1013,Midwest,Uniform Rental,standard,7,2.96,True,230,0.9326,1,1,2026-01-03T10:57:21.442327350
RUN-000060,2026-01-03,Daily Incident Intake,daily,Safety Logic,LOC-1068,West,Fire Protection,high_touch,7,4.6,True,175,0.9664,0,2,2026-01-03T12:36:07.789117166
RUN-000061,2026-01-03,Daily Incident Intake,daily,Safety Logic,LOC-1011,Great Lakes,Facility Services,high_touch,7,5.73,True,294,0.9697,1,4,2026-01-03T13:43:50.719231882
RUN-000062,2026-01-03,Daily Incident Intake,daily,Safety Logic,LOC-1023,Midwest,Facility Services,standard,7,4.84,True,326,0.9622,0,3,2026-01-03T12:50:16.579260337
RUN-000063,2026-01-03,Daily Incident Intake,daily,Safety Logic,LOC-1067,West,Fire Protection,high_touch,7,5.06,True,333,0.9446,2,9,2026-01-03T13:03:53.947891203
RUN-000064,2026-01-03,Daily Incident Intake,daily,Safety Logic,LOC-1064,West,First Aid & Safety,high_touch,7,4.32,True,336,0.9591,2,3,2026-01-03T12:19:15.673568389
RUN-000065,2026-01-03,Daily Incident Intake,daily,Safety Logic,LOC-1056,South Central,Fire Protection,standard,7,2.22,True,359,0.9612,0,2,2026-01-03T10:13:23.063818462
RUN-000066,2026-01-03,Daily Incident Intake,daily,Safety Logic,LOC-1018,Midwest,First Aid & Safety,high_touch,7,4.06,True,371,0.9597,0,2,2026-01-03T12:03:41.962779397
RUN-000067,2026-01-03,Daily Incident Intake,daily,Safety Logic,LOC-1014,Midwest,Uniform Rental,high_touch,7,3.49,True,161,0.9609,4,0,2026-01-03T11:29:08.824782715
RUN-000068,2026-01-03,Daily Incident Intake,daily,Safety Logic,LOC-1015,Midwest,Uniform Rental,high_touch,7,7.99,False,317,0.9616,4,2,2026-01-03T15:59:19.469438904
RUN-000069,2026-01-03,Daily Incident Intake,daily,Safety Logic,LOC-1009,Great Lakes,Fire Protection,high_touch,7,4.39,True,412,0.9469,0,5,2026-01-03T12:23:41.101796710
RUN-000070,2026-01-03,Daily Incident Intake,daily,Safety Logic,LOC-1033,Northeast,Fire Protection,high_touch,7,6.7,True,103,0.9594,6,2,2026-01-03T14:41:46.367959904
RUN-000071,2026-01-03,Daily Incident Intake,daily,Safety Logic,LOC-1002,Great Lakes,Uniform Rental,high_touch,7,5.7,True,394,0.9699,3,8,2026-01-03T13:42:08.475179233
RUN-000072,2026-01-03,Daily Incident Intake,daily,Safety Logic,LOC-1053,South Central,First Aid & Safety,standard,7,3.6,True,258,0.9954,1,2,2026-01-03T11:36:07.061891500
RUN-000073,2026-01-03,Daily Incident Intake,daily,Safety Logic,LOC-1048,Southeast,Facility Services,high_touch,7,3.24,True,141,0.9845,3,4,2026-01-03T11:14:32.797447702
RUN-000074,2026-01-03,Daily Incident Intake,daily,Safety Logic,LOC-1030,Northeast,First Aid & Safety,high_touch,7,3.76,True,281,0.9715,1,3,2026-01-03T11:45:52.922799257
RUN-000075,2026-01-03,Daily Incident Intake,daily,Safety Logic,LOC-1022,Midwest,Facility Services,high_touch,7,5.5,True,364,0.9653,2,2,2026-01-03T13:29:42.823882169
RUN-000076,2026-01-03,Daily Incident Intake,daily,Safety Logic,LOC-1026,Northeast,Uniform Rental,standard,7,4.6,True,161,0.9757,1,2,2026-01-03T12:36:12.803608147
RUN-000077,2026-01-03,Daily Incident Intake,daily,Safety Logic,LOC-1042,Southeast,First Aid & Safety,high_touch,7,3.92,True,323,0.9303,2,7,2026-01-03T11:54:56.669525781
RUN-000078,2026-01-03,Daily Incident Intake,daily,Safety Logic,LOC-1019,Midwest,Fire Protection,standard,7,4.36,True,102,0.9591,2,1,2026-01-03T12:21:35.134069741
RUN-000079,2026-01-03,Daily Incident Intake,daily,Safety Logic,LOC-1029,Northeast,First Aid & Safety,standard,7,3.76,True,102,0.999,3,0,2026-01-03T11:45:27.831276826
RUN-000080,2026-01-03,Daily Incident Intake,daily,Safety Logic,LOC-1044,Southeast,Fire Protection,high_touch,7,7.87,False,301,0.9581,3,4,2026-01-03T15:52:18.171060084
RUN-000081,2026-01-03,Ad Hoc Leader Request,ad_hoc,Corporate Request,LOC-1051,South Central,Uniform Rental,standard,2,2.11,False,199,0.9465,0,1,2026-01-03T10:06:35.987321595
RUN-000082,2026-01-03,Ad Hoc Leader Request,ad_hoc,Corporate Request,LOC-1018,Midwest,First Aid & Safety,high_touch,2,3.3,False,212,0.9516,0,2,2026-01-03T11:17:54.998430931
RUN-000083,2026-01-03,Ad Hoc Leader Request,ad_hoc,Corporate Request,LOC-1033,Northeast,Fire Protection,high_touch,2,0.1,True,161,0.9513,0,3,2026-01-03T08:06:00
RUN-000084,2026-01-03,Ad Hoc Leader Request,ad_hoc,Corporate Request,LOC-1037,Southeast,Uniform Rental,high_touch,2,1.22,True,266,0.9615,1,3,2026-01-03T09:12:54.806456323
RUN-000085,2026-01-03,Ad Hoc Leader Request,ad_hoc,Corporate Request,LOC-1015,Midwest,Uniform Rental,high_touch,2,0.86,True,155,0.9779,1,6,2026-01-03T08:51:33.690186245
RUN-000086,2026-01-03,Ad Hoc Leader Request,ad_hoc,Corporate Request,LOC-1048,Southeast,Facility Services,high_touch,2,2.85,False,265,0.9695,1,6,2026-01-03T10:50:44.156883035
RUN-000087,2026-01-03,Ad Hoc Leader Request,ad_hoc,Corporate Request,LOC-1023,Midwest,Facility Services,standard,2,0.65,True,336,0.969,0,1,2026-01-03T08:39:02.313986347
RUN-000088,2026-01-03,Ad Hoc Leader Request,ad_hoc,Corporate Request,LOC-1007,Great Lakes,Fire Protection,high_touch,2,3.77,False,248,0.9658,0,3,2026-01-03T11:46:26.244427300
RUN-000089,2026-01-03,Ad Hoc Leader Request,ad_hoc,Corporate Request,LOC-1060,South Central,Facility Services,standard,2,1.38,True,226,0.947,1,3,2026-01-03T09:23:03.265529541
RUN-000090,2026-01-03,Ad Hoc Leader Request,ad_hoc,Corporate Request,LOC-1014,Midwest,Uniform Rental,high_touch,2,4.33,False,254,0.9562,1,4,2026-01-03T12:20:03.045785089
RUN-000091,2026-01-03,Ad Hoc Leader Request,ad_hoc,Corporate Request,LOC-1029,Northeast,First Aid & Safety,standard,2,0.39,True,339,0.9786,0,3,2026-01-03T08:23:28.457474776
RUN-000092,2026-01-03,Ad Hoc Leader Request,ad_hoc,Corporate Request,LOC-1021,Midwest,Fire Protection,standard,2,0.13,True,100,0.9484,0,1,2026-01-03T08:07:52.392448216
RUN-000093,2026-01-03,Ad Hoc Leader Request,ad_hoc,Corporate Request,LOC-1052,South Central,First Aid & Safety,standard,2,0.1,True,319,0.9865,0,1,2026-01-03T08:06:00
RUN-000094,2026-01-03,Ad Hoc Leader Request,ad_hoc,Corporate Request,LOC-1017,Midwest,First Aid & Safety,standard,2,0.67,True,166,0.9453,1,1,2026-01-03T08:39:54.845556076
RUN-000095,2026-01-03,Ad Hoc Leader Request,ad_hoc,Corporate Request,LOC-1044,Southeast,Fire Protection,high_touch,2,4.95,False,413,0.977,0,3,2026-01-03T12:56:46.658751952
RUN-000096,2026-01-03,Ad Hoc Leader Request,ad_hoc,Corporate Request,LOC-1041,Southeast,First Aid & Safety,high_touch,2,2.27,False,224,0.9482,0,0,2026-01-03T10:16:23.420649894
RUN-000097,2026-01-03,Ad Hoc Leader Request,ad_hoc,Corporate Request,LOC-1034,Northeast,Facility Services,standard,2,2.09,False,131,0.9698,2,3,2026-01-03T10:05:18.875838270
RUN-000098,2026-01-03,Ad Hoc Leader Request,ad_hoc,Corporate Request,LOC-1054,South Central,First Aid & Safety,standard,2,1.62,True,260,0.9738,1,0,2026-01-03T09:37:05.887927227
RUN-000099,2026-01-03,Ad Hoc Leader Request,ad_hoc,Corporate Request,LOC-1009,Great Lakes,Fire Protection,high_touch,2,3.66,False,127,0.9597,0,3,2026-01-03T11:39:19.962974683
RUN-000100,2026-01-03,Ad Hoc Leader Request,ad_hoc,Corporate Request,LOC-1020,Midwest,Fire Protection,standard,2,0.1,True,281,0.9832,0,2,2026-01-03T08:06:00
RUN-000101,2026-01-03,Ad Hoc Leader Request,ad_hoc,Corporate Request,LOC-1056,South Central,Fire Protection,standard,2,0.1,True,418,0.9647,0,2,2026-01-03T08:06:00
RUN-000102,2026-01-03,Ad Hoc Leader Request,ad_hoc,Corporate Request,LOC-1039,Southeast,Uniform Rental,high_touch,2,1.92,True,210,0.9751,0,4,2026-01-03T09:55:02.628274411
RUN-000103,2026-01-03,Ad Hoc Leader Request,ad_hoc,Corporate Request,LOC-1043,Southeast,Fire Protection,high_touch,2,3.99,False,277,0.9802,0,1,2026-01-03T11:59:23.373409683
RUN-000104,2026-01-03,Ad Hoc Leader Request,ad_hoc,Corporate Request,LOC-1011,Great Lakes,Facility Services,high_touch,2,0.1,True,368,0.9469,1,2,2026-01-03T08:06:00
RUN-000105,2026-01-03,Ad Hoc Leader Request,ad_hoc,Corporate Request,LOC-1062,West,Uniform Rental,standard,2,0.1,True,94,0.9863,0,2,2026-01-03T08:06:00
RUN-000106,2026-01-03,Ad Hoc Leader Request,ad_hoc,Corporate Request,LOC-1059,South Central,Facility Services,standard,2,1.06,True,211,0.9939,0,1,2026-01-03T09:03:38.856716927
RUN-000107,2026-01-03,Ad Hoc Leader Request,ad_hoc,Corporate Request,LOC-1006,Great Lakes,First Aid & Safety,high_touch,2,2.5,False,208,0.9199,0,4,2026-01-03T10:30:13.154422951
RUN-000108,2026-01-03,Ad Hoc Leader Request,ad_hoc,Corporate Request,LOC-1072,West,Facility Services,standard,2,0.1,True,365,0.9951,0,2,2026-01-03T08:06:00
RUN-000109,2026-01-03,Ad Hoc Leader Request,ad_hoc,Corporate Request,LOC-1065,West,First Aid & Safety,standard,2,1.59,True,227,0.999,0,2,2026-01-03T09:35:27.361123153
RUN-000110,2026-01-03,Ad Hoc Leader Request,ad_hoc,Corporate Request,LOC-1049,South Central,Uniform Rental,standard,2,0.12,True,350,0.9539,0,4,2026-01-03T08:07:22.494287596
RUN-000111,2026-01-03,Ad Hoc Leader Request,ad_hoc,Corporate Request,LOC-1022,Midwest,Facility Services,high_touch,2,2.31,False,269,0.9681,1,7,2026-01-03T10:18:46.587149479
RUN-000112,2026-01-03,Ad Hoc Leader Request,ad_hoc,Corporate Request,LOC-1061,West,Uniform Rental,high_touch,2,3.6,False,216,0.9697,1,1,2026-01-03T11:36:00.905109399
RUN-000113,2026-01-03,Ad Hoc Leader Request,ad_hoc,Corporate Request,LOC-1066,West,First Aid & Safety,high_touch,2,2.2,False,141,0.9386,1,4,2026-01-03T10:11:53.357463931
RUN-000114,2026-01-04,Daily Incident Intake,daily,Safety Logic,LOC-1011,Great Lakes,Facility Services,high_touch,7,4.3,True,116,0.9557,0,3,2026-01-04T12:17:48.394693610
RUN-000115,2026-01-04,Daily Incident Intake,daily,Safety Logic,LOC-1044,Southeast,Fire Protection,high_touch,7,4.57,True,99,0.9486,0,7,2026-01-04T12:34:07.976371999
RUN-000116,2026-01-04,Daily Incident Intake,daily,Safety Logic,LOC-1039,Southeast,Uniform Rental,high_touch,7,6.34,True,203,0.9501,1,4,2026-01-04T14:20:40.260858613
RUN-000117,2026-01-04,Daily Incident Intake,daily,Safety Logic,LOC-1031,Northeast,Fire Protection,standard,7,3.95,True,187,0.9415,1,0,2026-01-04T11:56:52.054074300
RUN-000118,2026-01-04,Daily Incident Intake,daily,Safety Logic,LOC-1070,West,Facility Services,high_touch,7,3.5,True,354,0.9619,1,4,2026-01-04T11:30:17.745275353
RUN-000119,2026-01-04,Daily Incident Intake,daily,Safety Logic,LOC-1019,Midwest,Fire Protection,standard,7,3.21,True,320,0.9983,1,0,2026-01-04T11:12:26.764550251
RUN-000120,2026-01-04,Daily Incident Intake,daily,Safety Logic,LOC-1049,South Central,Uniform Rental,standard,7,6.39,True,148,0.9903,5,1,2026-01-04T14:23:27.725928771
RUN-000121,2026-01-04,Daily Incident Intake,daily,Safety Logic,LOC-1059,South Central,Facility Services,standard,7,2.52,True,257,0.99,1,1,2026-01-04T10:30:59.359358953
RUN-000122,2026-01-04,Daily Incident Intake,daily,Safety Logic,LOC-1060,South Central,Facility Services,standard,7,6.83,True,376,0.9886,3,2,2026-01-04T14:49:45.973105679
RUN-000123,2026-01-04,Daily Incident Intake,daily,Safety Logic,LOC-1068,West,Fire Protection,high_touch,7,6.8,True,203,0.9823,2,5,2026-01-04T14:47:55.410093973
RUN-000124,2026-01-04,Daily Incident Intake,daily,Safety Logic,LOC-1064,West,First Aid & Safety,high_touch,7,2.14,True,270,0.9658,1,7,2026-01-04T10:08:17.889851126
RUN-000125,2026-01-04,Daily Incident Intake,daily,Safety Logic,LOC-1001,Great Lakes,Uniform Rental,high_touch,7,7.02,False,123,0.9964,1,5,2026-01-04T15:01:19.568521451
RUN-000126,2026-01-04,Daily Incident Intake,daily,Safety Logic,LOC-1057,South Central,Fire Protection,standard,7,2.97,True,280,0.9633,1,1,2026-01-04T10:58:09.225585077
RUN-000127,2026-01-04,Daily Incident Intake,daily,Safety Logic,LOC-1027,Northeast,Uniform Rental,standard,7,3.12,True,221,0.9663,1,4,2026-01-04T11:07:03.714809720
RUN-000128,2026-01-04,Daily Incident Intake,daily,Safety Logic,LOC-1006,Great Lakes,First Aid & Safety,high_touch,7,3.29,True,315,0.9958,3,3,2026-01-04T11:17:16.590888925
RUN-000129,2026-01-04,Daily Incident Intake,daily,Safety Logic,LOC-1012,Great Lakes,Facility Services,high_touch,7,2.38,True,356,0.9659,0,2,2026-01-04T10:22:50.248034468
RUN-000130,2026-01-04,Daily Incident Intake,daily,Safety Logic,LOC-1009,Great Lakes,Fire Protection,high_touch,7,6.85,True,392,0.9763,1,4,2026-01-04T14:50:47.247930501
RUN-000131,2026-01-04,Daily Incident Intake,daily,Safety Logic,LOC-1063,West,Uniform Rental,standard,7,4.16,True,144,0.9668,0,3,2026-01-04T12:09:23.116374102
RUN-000132,2026-01-04,Daily Incident Intake,daily,Safety Logic,LOC-1054,South Central,First Aid & Safety,standard,7,3.7,True,357,0.9685,4,2,2026-01-04T11:42:16.411080364
RUN-000133,2026-01-04,Daily Incident Intake,daily,Safety Logic,LOC-1072,West,Facility Services,standard,7,3.84,True,322,0.9717,0,3,2026-01-04T11:50:41.729227532
RUN-000134,2026-01-04,Daily Incident Intake,daily,Safety Logic,LOC-1024,Midwest,Facility Services,standard,7,1.44,True,305,0.9829,2,1,2026-01-04T09:26:40.493605677
RUN-000135,2026-01-04,Daily Incident Intake,daily,Safety Logic,LOC-1032,Northeast,Fire Protection,high_touch,7,3.08,True,362,0.9484,1,2,2026-01-04T11:04:52.425183311
RUN-000136,2026-01-04,Daily Incident Intake,daily,Safety Logic,LOC-1037,Southeast,Uniform Rental,high_touch,7,3.51,True,234,0.9521,2,6,2026-01-04T11:30:44.671922010
RUN-000137,2026-01-04,Daily Incident Intake,daily,Safety Logic,LOC-1030,Northeast,First Aid & Safety,high_touch,7,3.83,True,251,0.9701,3,1,2026-01-04T11:50:05.526806673
RUN-000138,2026-01-04,Daily Incident Intake,daily,Safety Logic,LOC-1071,West,Facility Services,standard,7,5.39,True,145,0.9897,2,3,2026-01-04T13:23:14.706841644
RUN-000139,2026-01-04,Daily Incident Intake,daily,Safety Logic,LOC-1035,Northeast,Facility Services,standard,7,4.35,True,120,0.9688,4,1,2026-01-04T12:21:15.523882180
RUN-000140,2026-01-04,Daily Incident Intake,daily,Safety Logic,LOC-1013,Midwest,Uniform Rental,standard,7,2.89,True,102,0.9683,0,3,2026-01-04T10:53:28.899556419
RUN-000141,2026-01-04,Daily Incident Intake,daily,Safety Logic,LOC-1055,South Central,Fire Protection,standard,7,4.33,True,202,0.9554,0,1,2026-01-04T12:19:54.102098047
RUN-000142,2026-01-04,Daily Incident Intake,daily,Safety Logic,LOC-1023,Midwest,Facility Services,standard,7,2.9,True,171,0.9534,2,4,2026-01-04T10:53:53.099794892
RUN-000143,2026-01-04,Daily Incident Intake,daily,Safety Logic,LOC-1015,Midwest,Uniform Rental,high_touch,7,3.52,True,305,0.9864,1,4,2026-01-04T11:31:18.391648944
RUN-000144,2026-01-04,Ad Hoc Leader Request,ad_hoc,Corporate Request,LOC-1004,Great Lakes,First Aid & Safety,high_touch,2,3.53,False,236,0.9731,2,3,2026-01-04T11:32:04.568115131
RUN-000145,2026-01-04,Ad Hoc Leader Request,ad_hoc,Corporate Request,LOC-1015,Midwest,Uniform Rental,high_touch,2,2.95,False,132,0.9875,1,5,2026-01-04T10:57:00.328165323
