exception_id,run_id,run_date,report_name,source_system,location_id,region,division,exception_type,severity,owner_group,age_days,status,resolution_hours,requires_field_followup
EXC-000012,RUN-000036,2026-01-02,Daily Incident Intake,Safety Logic,LOC-1055,South Central,Fire Protection,open_corrective_action,high,Corporate Safety,10,open,,True
EXC-000013,RUN-000037,2026-01-02,Daily Incident Intake,Safety Logic,LOC-1040,Southeast,First Aid & Safety,unmapped_employee_partner,high,Corporate Safety,13,closed,110.1,True
EXC-000014,RUN-000039,2026-01-02,Daily Incident Intake,Safety Logic,LOC-1041,Southeast,First Aid & Safety,duplicate_incident_key,high,Corporate Safety,14,open,,False
EXC-000015,RUN-000039,2026-01-02,Daily Incident Intake,Safety Logic,LOC-1041,Southeast,First Aid & Safety,invalid_vendor_credential,high,Vendor Coordinator,10,open,,False
EXC-000016,RUN-000040,2026-01-02,Daily Incident Intake,Safety Logic,LOC-1037,Southeast,Uniform Rental,invalid_vendor_credential,critical,Field Safety Lead,17,closed,151.1,False
EXC-000017,RUN-000040,2026-01-02,Daily Incident Intake,Safety Logic,LOC-1037,Southeast,Uniform Rental,duplicate_incident_key,medium,Corporate Safety,1,closed,12.6,False
EXC-000018,RUN-000041,2026-01-02,Daily Incident Intake,Safety Logic,LOC-1004,Great Lakes,First Aid & Safety,missing_location_id,low,Data Steward,4,closed,61.0,False
EXC-000019,RUN-000042,2026-01-02,Daily Incident Intake,Safety Logic,LOC-1042,Southeast,First Aid & Safety,missing_location_id,medium,Corporate Safety,9,closed,88.6,False
EXC-000020,RUN-000045,2026-01-02,Daily Incident Intake,Safety Logic,LOC-1005,Great Lakes,First Aid & Safety,missing_location_id,low,Vendor Coordinator,2,closed,48.5,False
EXC-000021,RUN-000045,2026-01-02,Daily Incident Intake,Safety Logic,LOC-1005,Great Lakes,First Aid & Safety,rollout_training_gap,medium,Field Safety Lead,3,closed,60.0,True
EXC-000022,RUN-000045,2026-01-02,Daily Incident Intake,Safety Logic,LOC-1005,Great Lakes,First Aid & Safety,missing_location_id,low,Data Steward,0,closed,31.3,False
EXC-000023,RUN-000048,2026-01-02,Daily Incident Intake,Safety Logic,LOC-1032,Northeast,Fire Protection,rollout_training_gap,high,Vendor Coordinator,9,closed,93.0,True
EXC-000024,RUN-000049,2026-01-02,Daily Incident Intake,Safety Logic,LOC-1003,Great Lakes,Uniform Rental,invalid_vendor_credential,medium,Corporate Safety,2,closed,28.3,False
EXC-000025,RUN-000052,2026-01-02,Daily Incident Intake,Safety Logic,LOC-1057,South Central,Fire Protection,open_corrective_action,low,Data Steward,1,open,,True
EXC-000026,RUN-000055,2026-01-02,Daily Incident Intake,Safety Logic,LOC-1058,South Central,Facility Services,late_source_extract,high,Field Safety Lead,19,closed,153.7,False
EXC-000027,RUN-000056,2026-01-02,Daily Incident Intake,Safety Logic,LOC-1013,Midwest,Uniform Rental,invalid_vendor_credential,medium,Vendor Coordinator,16,closed,131.3,False
EXC-000028,RUN-000063,2026-01-03,Daily Incident Intake,Safety Logic,LOC-1067,West,Fire Protection,missing_completion_date,medium,Data Steward,5,open,,False
EXC-000029,RUN-000064,2026-01-03,Daily Incident Intake,Safety Logic,LOC-1064,West,First Aid & Safety,duplicate_incident_key,low,Data Steward,1,closed,36.9,False
EXC-000030,RUN-000065,2026-01-03,Daily Incident Intake,Safety Logic,LOC-1056,South Central,Fire Protection,missing_location_id,medium,Field Safety Lead,3,closed,59.8,False
EXC-000031,RUN-000068,2026-01-03,Daily Incident Intake,Safety Logic,LOC-1015,Midwest,Uniform Rental,invalid_vendor_credential,high,Vendor Coordinator,7,closed,71.6,False
EXC-000032,RUN-000069,2026-01-03,Daily Incident Intake,Safety Logic,LOC-1009,Great Lakes,Fire Protection,late_source_extract,low,Field Safety Lead,6,closed,88.2,False
EXC-000033,RUN-000069,2026-01-03,Daily Incident Intake,Safety Logic,LOC-1009,Great Lakes,Fire Protection,missing_completion_date,low,Vendor Coordinator,14,closed,124.8,False
EXC-000034,RUN-000071,2026-01-03,Daily Incident Intake,Safety Logic,LOC-1002,Great Lakes,Uniform Rental,missing_completion_date,medium,Field Safety Lead,3,closed,42.7,False
EXC-000035,RUN-000077,2026-01-03,Daily Incident Intake,Safety Logic,LOC-1042,Southeast,First Aid & Safety,rollout_training_gap,high,Corporate Safety,4,closed,47.0,True
EXC-000036,RUN-000077,2026-01-03,Daily Incident Intake,Safety Logic,LOC-1042,Southeast,First Aid & Safety,unmapped_employee_partner,medium,Corporate Safety,1,open,,True
EXC-000037,RUN-000077,2026-01-03,Daily Incident Intake,Safety Logic,LOC-1042,Southeast,First Aid & Safety,open_corrective_action,critical,Corporate Safety,4,closed,65.3,True
EXC-000038,RUN-000077,2026-01-03,Daily Incident Intake,Safety Logic,LOC-1042,Southeast,First Aid & Safety,missing_completion_date,critical,Corporate Safety,6,closed,69.0,False
EXC-000039,RUN-000080,2026-01-03,Daily Incident Intake,Safety Logic,LOC-1044,Southeast,Fire Protection,missing_completion_date,high,Data Steward,19,closed,138.1,False
EXC-000040,RUN-000081,2026-01-03,Ad Hoc Leader Request,Corporate Request,LOC-1051,South Central,Uniform Rental,invalid_vendor_credential,high,Corporate Safety,11,closed,83.0,False
EXC-000041,RUN-000081,2026-01-03,Ad Hoc Leader Request,Corporate Request,LOC-1051,South Central,Uniform Rental,missing_completion_date,low,Data Steward,4,closed,35.1,False
EXC-000042,RUN-000082,2026-01-03,Ad Hoc Leader Request,Corporate Request,LOC-1018,Midwest,First Aid & Safety,late_source_extract,low,Field Safety Lead,8,open,,False
EXC-000043,RUN-000083,2026-01-03,Ad Hoc Leader Request,Corporate Request,LOC-1033,Northeast,Fire Protection,rollout_training_gap,critical,Vendor Coordinator,5,closed,42.1,True
EXC-000044,RUN-000084,2026-01-03,Ad Hoc Leader Request,Corporate Request,LOC-1037,Southeast,Uniform Rental,unmapped_employee_partner,medium,Field Safety Lead,2,closed,36.0,True
EXC-000045,RUN-000088,2026-01-03,Ad Hoc Leader Request,Corporate Request,LOC-1007,Great Lakes,Fire Protection,unmapped_employee_partner,low,Data Steward,0,closed,35.0,True
EXC-000046,RUN-000088,2026-01-03,Ad Hoc Leader Request,Corporate Request,LOC-1007,Great Lakes,Fire Protection,late_source_extract,critical,Vendor Coordinator,10,closed,90.4,False
EXC-000047,RUN-000090,2026-01-03,Ad Hoc Leader Request,Corporate Request,LOC-1014,Midwest,Uniform Rental,unmapped_employee_partner,medium,Field Safety Lead,14,closed,117.2,True
EXC-000048,RUN-000096,2026-01-03,Ad Hoc Leader Request,Corporate Request,LOC-1041,Southeast,First Aid & Safety,open_corrective_action,high,Vendor Coordinator,8,closed,71.2,True
EXC-000049,RUN-000099,2026-01-03,Ad Hoc Leader Request,Corporate Request,LOC-1009,Great Lakes,Fire Protection,open_corrective_action,medium,Corporate Safety,3,closed,65.3,True
EXC-000050,RUN-000101,2026-01-03,Ad Hoc Leader Request,Corporate Request,LOC-1056,South Central,Fire Protection,invalid_vendor_credential,low,Field Safety Lead,8,closed,110.6,False
EXC-000051,RUN-000104,2026-01-03,Ad Hoc Leader Request,Corporate Request,LOC-1011,Great Lakes,Facility Services,rollout_training_gap,medium,Vendor Coordinator,2,closed,51.0,True
EXC-000052,RUN-000107,2026-01-03,Ad Hoc Leader Request,Corporate Request,LOC-1006,Great Lakes,First Aid & Safety,invalid_vendor_credential,critical,Data Steward,7,open,,False
EXC-000053,RUN-000110,2026-01-03,Ad Hoc Leader Request,Corporate Request,LOC-1049,South Central,Uniform Rental,rollout_training_gap,low,Field Safety Lead,6,closed,64.9,True
EXC-000054,RUN-000112,2026-01-03,Ad Hoc Leader Request,Corporate Request,LOC-1061,West,Uniform Rental,missing_completion_date,medium,Corporate Safety,3,closed,58.4,False
EXC-000055,RUN-000112,2026-01-03,Ad Hoc Leader Request,Corporate Request,LOC-1061,West,Uniform Rental,open_corrective_action,medium,Field Safety Lead,11,closed,91.7,True
EXC-000056,RUN-000113,2026-01-03,Ad Hoc Leader Request,Corporate Request,LOC-1066,West,First Aid & Safety,rollout_training_gap,low,Corporate Safety,9,closed,82.7,True
EXC-000057,RUN-000116,2026-01-04,Daily Incident Intake,Safety Logic,LOC-1039,Southeast,Uniform Rental,missing_completion_date,medium,Vendor Coordinator,7,closed,55.3,False
EXC-000058,RUN-000118,2026-01-04,Daily Incident Intake,Safety Logic,LOC-1070,West,Facility Services,missing_location_id,medium,Corporate Safety,15,closed,125.6,False
EXC-000059,RUN-000120,2026-01-04,Daily Incident Intake,Safety Logic,LOC-1049,South Central,Uniform Rental,rollout_training_gap,medium,Vendor Coordinator,16,closed,135.1,True
EXC-000060,RUN-000120,2026-01-04,Daily Incident Intake,Safety Logic,LOC-1049,South Central,Uniform Rental,late_source_extract,medium,Field Safety Lead,7,closed,79.4,False
EXC-000061,RUN-000128,2026-01-04,Daily Incident Intake,Safety Logic,LOC-1006,Great Lakes,First Aid & Safety,rollout_training_gap,low,Vendor Coordinator,8,open,,True
EXC-000062,RUN-000130,2026-01-04,Daily Incident Intake,Safety Logic,LOC-1009,Great Lakes,Fire Protection,rollout_training_gap,medium,Data Steward,4,closed,36.4,True
EXC-000063,RUN-000130,2026-01-04,Daily Incident Intake,Safety Logic,LOC-1009,Great Lakes,Fire Protection,unmapped_employee_partner,low,Corporate Safety,13,open,,True
EXC-000064,RUN-000132,2026-01-04,Daily Incident Intake,Safety Logic,LOC-1054,South Central,First Aid & Safety,late_source_extract,high,Data Steward,10,closed,72.3,False
EXC-000065,RUN-000136,2026-01-04,Daily Incident Intake,Safety Logic,LOC-1037,Southeast,Uniform Rental,unmapped_employee_partner,medium,Vendor Coordinator,5,closed,63.5,True
EXC-000066,RUN-000146,2026-01-04,Ad Hoc Leader Request,Corporate Request,LOC-1013,Midwest,Uniform Rental,rollout_training_gap,critical,Field Safety Lead,14,open,,True
EXC-000067,RUN-000146,2026-01-04,Ad Hoc Leader Request,Corporate Request,LOC-1013,Midwest,Uniform Rental,unmapped_employee_partner,medium,Field Safety Lead,3,closed,48.4,True
EXC-000068,RUN-000148,2026-01-04,Ad Hoc Leader Request,Corporate Request,LOC-1008,Great Lakes,Fire Protection,open_corrective_action,high,Field Safety Lead,4,open,,True
EXC-000069,RUN-000151,2026-01-04,Ad Hoc Leader Request,Corporate Request,LOC-1047,Southeast,Facility Services,missing_completion_date,medium,Field Safety Lead,1,closed,48.6,False
EXC-000070,RUN-000153,2026-01-04,Ad Hoc Leader Request,Corporate Request,LOC-1030,Northeast,First Aid & Safety,invalid_vendor_credential,medium,Data Steward,7,closed,65.7,False
EXC-000071,RUN-000154,2026-01-04,Ad Hoc Leader Request,Corporate Request,LOC-1039,Southeast,Uniform Rental,rollout_training_gap,medium,Corporate Safety,4,closed,31.2,True
EXC-000072,RUN-000154,2026-01-04,Ad Hoc Leader Request,Corporate Request,LOC-1039,Southeast,Uniform Rental,missing_completion_date,low,Data Steward,6,closed,66.4,False
EXC-000073,RUN-000159,2026-01-04,Ad Hoc Leader Request,Corporate Request,LOC-1007,Great Lakes,Fire Protection,missing_location_id,high,Vendor Coordinator,10,closed,116.2,False
EXC-000074,RUN-000159,2026-01-04,Ad Hoc Leader Request,Corporate Request,LOC-1007,Great Lakes,Fire Protection,late_source_extract,high,Field Safety Lead,5,closed,66.9,False
EXC-000075,RUN-000160,2026-01-04,Ad Hoc Leader Request,Corporate Request,LOC-1021,Midwest,Fire Protection,unmapped_employee_partner,medium,Corporate Safety,7,open,,True
EXC-000076,RUN-000160,2026-01-04,Ad Hoc Leader Request,Corporate Request,LOC-1021,Midwest,Fire Protection,rollout_training_gap,high,Corporate Safety,8,closed,89.3,True
EXC-000077,RUN-000161,2026-01-04,Ad Hoc Leader Request,Corporate Request,LOC-1068,West,Fire Protection,rollout_training_gap,critical,Vendor Coordinator,7,closed,72.2,True
EXC-000078,RUN-000162,2026-01-04,Ad Hoc Leader Request,Corporate Request,LOC-1025,Northeast,Uniform Rental,late_source_extract,low,Corporate Safety,1,closed,20.7,False
EXC-000079,RUN-000162,2026-01-04,Ad Hoc Leader Request,Corporate Request,LOC-1025,Northeast,Uniform Rental,invalid_vendor_credential,medium,Data Steward,0,closed,28.2,False
EXC-000080,RUN-000168,2026-01-04,Ad Hoc Leader Request,Corporate Request,LOC-1063,West,Uniform Rental,missing_completion_date,low,Data Steward,3,closed,47.1,False
EXC-000081,RUN-000176,2026-01-05,Daily Incident Intake,Safety Logic,LOC-1031,Northeast,Fire Protection,late_source_extract,medium,Corporate Safety,18,closed,135.6,False
EXC-000082,RUN-000177,2026-01-05,Daily Incident Intake,Safety Logic,LOC-1004,Great Lakes,First Aid & Safety,invalid_vendor_credential,medium,Field Safety Lead,1,closed,35.0,False
EXC-000083,RUN-000177,2026-01-05,Daily Incident Intake,Safety Logic,LOC-1004,Great Lakes,First Aid & Safety,open_corrective_action,low,Vendor Coordinator,3,closed,69.7,True
EXC-000084,RUN-000178,2026-01-05,Daily Incident Intake,Safety Logic,LOC-1018,Midwest,First Aid & Safety,missing_completion_date,medium,Data Steward,10,closed,100.8,False
EXC-000085,RUN-000178,2026-01-05,Daily Incident Intake,Safety Logic,LOC-1018,Midwest,First Aid & Safety,open_corrective_action,low,Vendor Coordinator,1,open,,True
EXC-000086,RUN-000179,2026-01-05,Daily Incident Intake,Safety Logic,LOC-1035,Northeast,Facility Services,missing_completion_date,medium,Data Steward,5,open,,False
EXC-000087,RUN-000183,2026-01-05,Daily Incident Intake,Safety Logic,LOC-1028,Northeast,First Aid & Safety,missing_completion_date,medium,Vendor Coordinator,6,open,,False
EXC-000088,RUN-000185,2026-01-05,Daily Incident Intake,Safety Logic,LOC-1065,West,First Aid & Safety,rollout_training_gap,low,Field Safety Lead,5,closed,72.7,True
EXC-000089,RUN-000187,2026-01-05,Daily Incident Intake,Safety Logic,LOC-1058,South Central,Facility Services,missing_completion_date,high,Data Steward,15,closed,114.0,False
EXC-000090,RUN-000191,2026-01-05,Daily Incident Intake,Safety Logic,LOC-1043,Southeast,Fire Protection,late_source_extract,medium,Corporate Safety,7,closed,59.4,False
EXC-000091,RUN-000195,2026-01-05,Daily Incident Intake,Safety Logic,LOC-1060,South Central,Facility Services,late_source_extract,high,Corporate Safety,8,open,,False
EXC-000092,RUN-000197,2026-01-05,Daily Incident Intake,Safety Logic,LOC-1032,Northeast,Fire Protection,duplicate_incident_key,high,Corporate Safety,12,closed,83.0,False
EXC-000093,RUN-000202,2026-01-05,Daily Incident Intake,Safety Logic,LOC-1054,South Central,First Aid & Safety,missing_location_id,medium,Corporate Safety,5,open,,False
EXC-000094,RUN-000205,2026-01-05,Daily Incident Intake,Safety Logic,LOC-1012,Great Lakes,Facility Services,open_corrective_action,medium,Corporate Safety,5,closed,76.6,True
EXC-000095,RUN-000205,2026-01-05,Daily Incident Intake,Safety Logic,LOC-1012,Great Lakes,Facility Services,invalid_vendor_credential,medium,Field Safety Lead,3,closed,43.7,False
EXC-000096,RUN-000208,2026-01-05,Daily Incident Intake,Safety Logic,LOC-1006,Great Lakes,First Aid & Safety,missing_completion_date,medium,Vendor Coordinator,4,closed,40.6,False
EXC-000097,RUN-000210,2026-01-05,Weekly Exception Review,Safety Logic,LOC-1006,Great Lakes,First Aid & Safety,missing_location_id,medium,Data Steward,8,closed,89.8,False
EXC-000098,RUN-000210,2026-01-05,Weekly Exception Review,Safety Logic,LOC-1006,Great Lakes,First Aid & Safety,duplicate_incident_key,low,Field Safety Lead,11,closed,74.2,False
EXC-000099,RUN-000210,2026-01-05,Weekly Exception Review,Safety Logic,LOC-1006,Great Lakes,First Aid & Safety,rollout_training_gap,medium,Corporate Safety,10,closed,93.9,True
EXC-000100,RUN-000218,2026-01-05,Weekly Exception Review,Safety Logic,LOC-1024,Midwest,Facility Services,unmapped_employee_partner,low,Field Safety Lead,1,closed,40.5,True
EXC-000101,RUN-000219,2026-01-05,Weekly Exception Review,Safety Logic,LOC-1045,Southeast,Fire Protection,duplicate_incident_key,medium,Field Safety Lead,0,closed,52.7,False
EXC-000102,RUN-000220,2026-01-05,Weekly Exception Review,Safety Logic,LOC-1032,Northeast,Fire Protection,late_source_extract,medium,Vendor Coordinator,6,closed,64.6,False
EXC-000103,RUN-000220,2026-01-05,Weekly Exception Review,Safety Logic,LOC-1032,Northeast,Fire Protection,missing_location_id,low,Vendor Coordinator,2,closed,30.1,False
EXC-000104,RUN-000225,2026-01-05,Weekly Exception Review,Safety Logic,LOC-1015,Midwest,Uniform Rental,duplicate_incident_key,medium,Field Safety Lead,2,closed,30.1,False
EXC-000105,RUN-000228,2026-01-05,Weekly Exception Review,Safety Logic,LOC-1033,Northeast,Fire Protection,late_source_extract,medium,Field Safety Lead,4,closed,46.5,False
EXC-000106,RUN-000228,2026-01-05,Weekly Exception Review,Safety Logic,LOC-1033,Northeast,Fire Protection,invalid_vendor_credential,low,Field Safety Lead,5,open,,False
EXC-000107,RUN-000229,2026-01-05,Weekly Exception Review,Safety Logic,LOC-1010,Great Lakes,Facility Services,missing_location_id,high,Corporate Safety,11,open,,False
EXC-000108,RUN-000231,2026-01-05,Weekly Exception Review,Safety Logic,LOC-1071,West,Facility Services,open_corrective_action,medium,Field Safety Lead,1,closed,40.2,True
EXC-000109,RUN-000232,2026-01-05,Weekly Exception Review,Safety Logic,LOC-1066,West,First Aid & Safety,unmapped_employee_partner,low,Corporate Safety,6,closed,46.9,True
EXC-000110,RUN-000234,2026-01-05,Weekly Exception Review,Safety Logic,LOC-1058,South Central,Facility Services,missing_completion_date,medium,Vendor Coordinator,3,closed,59.5,False
EXC-000111,RUN-000238,2026-01-05,Monthly Field Safety Scorecard,Safety Logic,LOC-1042,Southeast,First Aid & Safety,missing_completion_date,low,Corporate Safety,2,closed,21.5,False
EXC-000112,RUN-000240,2026-01-05,Monthly Field Safety Scorecard,Safety Logic,LOC-1066,West,First Aid & Safety,invalid_vendor_credential,critical,Corporate Safety,10,open,,False
EXC-000113,RUN-000240,2026-01-05,Monthly Field Safety Scorecard,Safety Logic,LOC-1066,West,First Aid & Safety,missing_completion_date,medium,Data Steward,6,open,,False
EXC-000114,RUN-000240,2026-01-05,Monthly Field Safety Scorecard,Safety Logic,LOC-1066,West,First Aid & Safety,missing_location_id,medium,Field Safety Lead,3,closed,65.4,False
EXC-000115,RUN-000242,2026-01-05,Monthly Field Safety Scorecard,Safety Logic,LOC-1038,Southeast,Uniform Rental,missing_completion_date,critical,Field Safety Lead,9,closed,80.2,False
EXC-000116,RUN-000243,2026-01-05,Monthly Field Safety Scorecard,Safety Logic,LOC-1032,Northeast,Fire Protection,late_source_extract,low,Data Steward,9,open,,False
EXC-000117,RUN-000246,2026-01-05,Monthly Field Safety Scorecard,Safety Logic,LOC-1067,West,Fire Protection,missing_completion_date,medium,Corporate Safety,11,open,,False
EXC-000118,RUN-000250,2026-01-05,Monthly Field Safety Scorecard,Safety Logic,LOC-1028,Northeast,First Aid & Safety,unmapped_employee_partner,medium,Vendor Coordinator,7,closed,77.9,True
EXC-000119,RUN-000253,2026-01-05,Monthly Field Safety Scorecard,Safety Logic,LOC-1007,Great Lakes,Fire Protection,late_source_extract,medium,Corporate Safety,15,open,,False
EXC-000120,RUN-000253,2026-01-05,Monthly Field Safety Scorecard,Safety Logic,LOC-1007,Great Lakes,Fire Protection,open_corrective_action,low,Vendor Coordinator,1,closed,50.0,True
EXC-000121,RUN-000253,2026-01-05,Monthly Field Safety Scorecard,Safety Logic,LOC-1007,Great Lakes,Fire Protection,duplicate_incident_key,medium,Corporate Safety,0,closed,29.6,False
EXC-000122,RUN-000254,2026-01-05,Monthly Field Safety Scorecard,Safety Logic,LOC-1021,Midwest,Fire Protection,open_corrective_action,medium,Corporate Safety,4,closed,71.2,True
EXC-000123,RUN-000255,2026-01-05,Monthly Field Safety Scorecard,Safety Logic,LOC-1045,Southeast,Fire Protection,rollout_training_gap,medium,Field Safety Lead,4,open,,True
EXC-000124,RUN-000255,2026-01-05,Monthly Field Safety Scorecard,Safety Logic,LOC-1045,Southeast,Fire Protection,missing_completion_date,high,Field Safety Lead,4,closed,40.8,False
EXC-000125,RUN-000256,2026-01-05,Monthly Field Safety Scorecard,Safety Logic,LOC-1063,West,Uniform Rental,rollout_training_gap,medium,Data Steward,10,closed,112.2,True
EXC-000126,RUN-000256,2026-01-05,Monthly Field Safety Scorecard,Safety Logic,LOC-1063,West,Uniform Rental,unmapped_employee_partner,high,Data Steward,5,open,,True
EXC-000127,RUN-000259,2026-01-05,Monthly Field Safety Scorecard,Safety Logic,LOC-1043,Southeast,Fire Protection,invalid_vendor_credential,low,Corporate Safety,4,closed,50.0,False
EXC-000128,RUN-000267,2026-01-05,Monthly Field Safety Scorecard,Safety Logic,LOC-1054,South Central,First Aid & Safety,late_source_extract,medium,Corporate Safety,0,closed,9.4,False
EXC-000129,RUN-000273,2026-01-05,Contractor Compliance Snapshot,ISN,LOC-1043,Southeast,Fire Protection,missing_completion_date,high,Data Steward,7,closed,79.2,False
EXC-000130,RUN-000281,2026-01-05,Contractor Compliance Snapshot,ISN,LOC-1012,Great Lakes,Facility Services,missing_location_id,high,Field Safety Lead,9,closed,77.0,False
EXC-000131,RUN-000282,2026-01-05,Contractor Compliance Snapshot,ISN,LOC-1013,Midwest,Uniform Rental,duplicate_incident_key,medium,Field Safety Lead,20,closed,161.2,False
EXC-000132,RUN-000283,2026-01-05,Contractor Compliance Snapshot,ISN,LOC-1067,West,Fire Protection,rollout_training_gap,low,Vendor Coordinator,8,closed,81.8,True
EXC-000133,RUN-000284,2026-01-05,Contractor Compliance Snapshot,ISN,LOC-1066,West,First Aid & Safety,unmapped_employee_partner,low,Field Safety Lead,4,closed,63.1,True
EXC-000134,RUN-000284,2026-01-05,Contractor Compliance Snapshot,ISN,LOC-1066,West,First Aid & Safety,open_corrective_action,medium,Field Safety Lead,3,closed,25.0,True
EXC-000135,RUN-000285,2026-01-05,Contractor Compliance Snapshot,ISN,LOC-1036,Northeast,Facility Services,open_corrective_action,high,Field Safety Lead,12,open,,True
EXC-000136,RUN-000286,2026-01-05,Contractor Compliance Snapshot,ISN,LOC-1072,West,Facility Services,missing_completion_date,high,Data Steward,8,open,,False
EXC-000137,RUN-000288,2026-01-05,Contractor Compliance Snapshot,ISN,LOC-1018,Midwest,First Aid & Safety,duplicate_incident_key,critical,Data Steward,9,open,,False
EXC-000138,RUN-000290,2026-01-05,Contractor Compliance Snapshot,ISN,LOC-1024,Midwest,Facility Services,open_corrective_action,medium,Field Safety Lead,1,closed,53.9,True
EXC-000139,RUN-000291,2026-01-05,Contractor Compliance Snapshot,ISN,LOC-1063,West,Uniform Rental,open_corrective_action,medium,Vendor Coordinator,0,closed,20.3,True
EXC-000140,RUN-000293,2026-01-05,Contractor Compliance Snapshot,ISN,LOC-1046,Southeast,Facility Services,missing_location_id,low,Corporate Safety,1,closed,58.3,False
EXC-000141,RUN-000297,2026-01-05,Contractor Compliance Snapshot,ISN,LOC-1044,Southeast,Fire Protection,duplicate_incident_key,medium,Data Steward,3,closed,22.1,False
EXC-000142,RUN-000302,2026-01-05,Contractor Compliance Snapshot,ISN,LOC-1047,Southeast,Facility Services,missing_location_id,critical,Field Safety Lead,4,closed,43.0,False
EXC-000143,RUN-000308,2026-01-05,Chemical SDS Coverage,MSDS,LOC-1031,Northeast,Fire Protection,rollout_training_gap,critical,Vendor Coordinator,7,closed,42.1,True
EXC-000144,RUN-000308,2026-01-05,Chemical SDS Coverage,MSDS,LOC-1031,Northeast,Fire Protection,late_source_extract,high,Corporate Safety,8,closed,70.3,False
EXC-000145,RUN-000308,2026-01-05,Chemical SDS Coverage,MSDS,LOC-1031,Northeast,Fire Protection,invalid_vendor_credential,medium,Corporate Safety,3,closed,54.7,False
EXC-000146,RUN-000308,2026-01-05,Chemical SDS Coverage,MSDS,LOC-1031,Northeast,Fire Protection,late_source_extract,high,Data Steward,5,closed,94.8,False
EXC-000147,RUN-000310,2026-01-05,Chemical SDS Coverage,MSDS,LOC-1066,West,First Aid & Safety,missing_location_id,medium,Field Safety Lead,2,closed,39.0,False
EXC-000148,RUN-000311,2026-01-05,Chemical SDS Coverage,MSDS,LOC-1065,West,First Aid & Safety,duplicate_incident_key,medium,Field Safety Lead,7,open,,False
EXC-000149,RUN-000314,2026-01-05,Chemical SDS Coverage,MSDS,LOC-1002,Great Lakes,Uniform Rental,open_corrective_action,medium,Corporate Safety,2,closed,39.4,True
EXC-000150,RUN-000316,2026-01-05,Chemical SDS Coverage,MSDS,LOC-1069,West,Fire Protection,duplicate_incident_key,high,Field Safety Lead,6,open,,False
EXC-000151,RUN-000323,2026-01-05,Chemical SDS Coverage,MSDS,LOC-1036,Northeast,Facility Services,invalid_vendor_credential,medium,Data Steward,2,open,,False
EXC-000152,RUN-000324,2026-01-05,Chemical SDS Coverage,MSDS,LOC-1022,Midwest,Facility Services,unmapped_employee_partner,medium,Data Steward,0,open,,True
EXC-000153,RUN-000324,2026-01-05,Chemical SDS Coverage,MSDS,LOC-1022,Midwest,Facility Services,missing_completion_date,medium,Data Steward,2,open,,False
EXC-000154,RUN-000331,2026-01-05,Vendor Credential Audit,Browz,LOC-1045,Southeast,Fire Protection,rollout_training_gap,high,Corporate Safety,11,closed,99.8,True
EXC-000155,RUN-000331,2026-01-05,Vendor Credential Audit,Browz,LOC-1045,Southeast,Fire Protection,late_source_extract,high,Vendor Coordinator,6,closed,83.5,False
EXC-000156,RUN-000331,2026-01-05,Vendor Credential Audit,Browz,LOC-1045,Southeast,Fire Protection,late_source_extract,medium,Vendor Coordinator,6,closed,59.7,False
EXC-000157,RUN-000331,2026-01-05,Vendor Credential Audit,Browz,LOC-1045,Southeast,Fire Protection,open_corrective_action,low,Data Steward,1,closed,27.6,True
